x,y,dx,dy,dx_1,dy_1,dx_2,dy_2,dx_3,dy_3,dx_4,dy_4,dx_5,dy_5,dx_6,dy_6,dx_7,dy_7,dx_8,dy_8,dx_9,dy_9,dx_10,dy_10,dx_true,dy_true
1215.0,483.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.45664283461585,-9.308163591831063
1214.0,483.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.45481197495273,-9.323778956244466
1211.0,483.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.44926372247556,-9.370938798035576
1206.0,481.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.4715140151242,-9.180330067264347
1201.0,481.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.46237583958906,-9.259094228265152
1193.0,479.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.47944629473636,-9.111400368885125
1183.0,475.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.52452901486728,-8.709149497139867
1169.0,472.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.54749916163442,-8.496786282458197
1150.0,466.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-79.60896932941579,-7.900126727346597
1128.0,461.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,0.0,0.0,-79.65165907720753,-7.457426248264448
1104.0,458.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-1.0,0.0,-79.66320913713498,-7.3330150670166265
1077.0,454.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-3.0,0.0,-79.68719485683445,-7.067600430761358
1047.0,450.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-5.0,-2.0,-79.70911116663699,-6.8159810023727685
1014.0,447.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-5.0,0.0,-79.71220979558572,-6.779646709418388
986.0,445.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-8.0,-2.0,-79.70503445626086,-6.863489078178016
959.0,443.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-10.0,-4.0,-79.69834832128558,-6.940697000952794
935.0,440.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-14.0,-3.0,-79.71829724582156,-6.707688441395999
914.0,437.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-19.0,-6.0,-79.74610195650516,-6.368612309026442
899.0,434.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-22.0,-5.0,-79.78617877276275,-5.845141302033895
889.0,431.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-24.0,-3.0,-79.83339500477855,-5.160333517419136
882.0,427.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-27.0,-4.0,-79.89704965447623,-4.057272052766364
877.0,424.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-30.0,-4.0,-79.93658442785507,-3.1847244791974094
874.0,422.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-33.0,-3.0,-79.95840914717597,-2.5793035208766586
873.0,419.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-28.0,-2.0,-79.98361401148675,-1.6191014982082446
873.0,416.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-27.0,-2.0,-79.99737756506846,-0.6477520450612868
873.0,413.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-24.0,-3.0,-79.99934436708885,0.32388398529184037
873.0,409.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-21.0,-3.0,-79.98361401148675,1.6191014982082446
875.0,404.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-15.0,-3.0,-79.93556284797612,3.21026356819182
876.0,402.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-10.0,-3.0,-79.90799894733038,3.835583949471867
876.0,400.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-7.0,-4.0,-79.87485426596524,4.4729918388940435
876.0,398.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-5.0,-3.0,-79.83666160462774,5.109546342696161
876.0,396.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-3.0,-2.0,-79.79344274855312,5.745127877895816
876.0,395.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-1.0,-3.0,-79.76995607200352,6.062516661472284
876.0,394.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,0.0,-3.0,-79.74522228289,6.379617782631209
875.0,392.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,0.0,-3.0,-79.68956332143229,7.0408449520944325
874.0,391.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,0.0,-4.0,-79.65816089798733,7.387652018764937
873.0,390.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,2.0,-5.0,-79.62500403871859,7.736842497689246
870.0,389.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,-79.58336348438854,8.15403314389226
867.0,388.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,-79.53846819068065,8.580913580737317
863.0,388.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,-79.5228978553616,8.724030988351902
857.0,388.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,-79.49802727058857,8.947829909243735
851.0,388.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,-79.47116685490096,9.18333483656632
843.0,388.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,-79.43187784408303,9.517183520489223
834.0,388.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-79.38223013709342,9.92277876713667
824.0,388.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-79.3190679700089,10.41563518798097
812.0,388.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-1.0,-1.0,-79.22967752592379,11.075116213301166
799.0,388.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-3.0,-1.0,-79.11155084775137,11.889597237234302
787.0,388.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-3.0,-1.0,-78.97680063022443,12.75401749307971
774.0,388.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,-78.79338050456693,13.842080358910408
761.0,388.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-6.0,0.0,-78.55636230180318,15.129373480347292
749.0,388.0,-10.0,0.0,-12.0,0.0,-13.0,0.0,-13.0,0.0,-12.0,0.0,-13.0,0.0,-12.0,0.0,-10.0,0.0,-9.0,0.0,-8.0,0.0,-6.0,0.0,-78.27045317715228,16.544973842324854
